AKP,CHP,MHP,HDP,SP,Other
41.0,27.8,14.8,12.6,0,3.8
42.0,27.0,16.0,12.0,0,3.0
43.8,25.6,15.9,10.8,0,3.9
46.0,25.3,15.5,9.0,0,4.2
41.0,27.6,16.0,11.5,3.6,0.3
44.0,26.5,14.3,10.2,2.8,2.1
45.2,26.3,15.4,9.6,2.5,2.2
43.5,27.1,16.1,10.9,2.9,2.0
42.7,26.2,15.8,11.3,3.0,1.5
40.9,27.4,14.9,12.1,2.7,1.7
43.0,26.0,15.2,10.5,3.1,2.4
45.1,25.1,15.3,9.8,3.4,1.8
42.3,26.7,16.3,10.1,3.3,1.9
44.6,25.8,15.6,11.2,2.9,2.3
46.7,24.6,14.2,10.4,3.2,2.7
41.2,27.9,15.1,12.3,3.0,1.6
43.9,26.5,15.0,10.6,3.1,2.0
42.1,27.0,14.8,11.0,2.6,2.5
44.8,25.2,15.4,9.9,2.4,2.8
45.4,26.3,14.5,10.2,2.5,2.2
