Yapılış Tarihi,Anketi Yapan,Katılımcı sayısı,AK Parti,CHP,MHP,BDP,HDP,SP,BBP,AP
Kasım (ilanı 18 Şubat),KONDA,,47.5,25.0,14.9,8.0,,,,4.6
24–31 Aralık,ANAR,5190.0,47.0,25.0,14.0,7.8,,,,7.0
15–20 Aralık,ORC,3860.0,49.4,23.0,13.1,7.9,1.6,2.9,,4.6
4–14 Aralık,KHÜ,1000.0,47.1,26.2,16.0,10.2,,,,0.6
4–8 Aralık,GENAR,5115.0,48.2,25.0,14.1,9.0,,,,3.7
? (ilanı 14 Aralık),KamuAR,4117.0,38.5,27.1,21.6,6.7,,,,6.1
1–5 Aralık,MAK,10800.0,50.0,25.1,15.0,4.5,1.7,2.2,,1.5
28 Kasım–1 Aralık,ORC,3100.0,48.5,23.1,13.7,8.0,1.8,3.0,,1.9
? (ilanı 28 Kasım),SONAR,3025.0,37.17,27.01,17.13,6.69,,,8.04,3.96
20–26 Ekim,MAK,10800.0,51.1,25.6,14.1,5.3,1.3,1.3,,1.3
17–22 Ekim,MetroPoll,2752.0,47.5,26.7,15.7,8.3,0.9,,0.9,
15–25 Ekim,ORC,11353.0,47.3,24.6,13.5,8.3,1.7,3.2,1.4,
18–19 Ekim,Gezici,3292.0,41.4,27.4,19.7,8.1,2.2,,1.2,
10–14 Ekim,Pollmark,5071.0,50.4,24.4,13.1,8.0,,,4.1,
? (ilanı 20 Ekim),Andy-AR,2037.0,46.4,24.8,14.3,8.8,,,5.7,
10–18 Eylül,Optimar,5200.0,50.6,24.7,14.5,6.8,1.0,,2.4,
2–8 Eylül,ANAR,5200.0,51.7,24.7,12.1,8.3,,,3.2,
2–6 Eylül,ORC,2310.0,47.4,24.3,15.0,9.5,,,3.8,
16–17 Ağustos,Andy-AR,1897.0,45.6,24.3,16.8,9.0,,,4.3,
11–13 Ağustos,ORC,2750.0,47.1,25.0,14.2,10.2,,,3.5,
8–15 Temmuz,Andy-AR,3216.0,48.8,25.2,15.2,6.5,,,4.3,
17–18 Mayıs,Gezici,3292.0,44.5,27.5,18.6,8.1,,,1.3,
? (ilanı 1 Şubat),Gezici,5292.0,43.3,28.1,17.5,9.9,,,1.2,
26–30 Ocak,MAK,5200.0,50.2,26.1,12.6,6.1,2.0,1.5,1.5,
14–21 Ocak,Metropoll,1545.0,43.2,28.1,15.0,9.7,1.9,,1.8,
