Yapılış Tarihi,Anketi Yapan,Katılımcı sayısı,AK Parti,CHP,MHP,HDP,SP,BBP,AP
30–31 Mayıs,KONDA,3543.0,41.0,27.8,14.8,12.6,,3.8,
2–3 Haziran,A&G,2976.0,42.0,27.0,16.0,12.0,,3.0,
28 Mayıs–2 Haziran,GENAR,4500.0,43.8,25.6,15.9,10.8,,3.9,
30 Mayıs–1 Haziran,ORC,3850.0,46.0,25.3,15.5,9.0,,4.2,
? (ilanı 2 Haziran),CHP,,39.0,29.0,17.0,13.0,,2.0,
23–27 Mayıs,Metropoll,5000.0,41.0,27.6,16.0,11.5,3.6,0.3,
13–25 Mayıs,Perspektif,1720.0,37.8,26.7,17.0,12.4,,6.1,
18–24 Mayıs,KamuAR,5223.0,35.3,27.9,23.1,7.7,3.2,2.8,
23–24 Mayıs,Gezici,4860.0,39.3,28.5,17.2,12.4,,2.5,
18–26 Mayıs,MAK,2155.0,43.56,24.9,16.4,9.94,3.99,1.21,
18–28 Mayıs,TÜSİAR,4.803,45.12,25.16,15.93,9.53,3.1,1.16,
17–23 Mayıs,Politics,4200.0,45.2,26.3,15.4,9.6,2.59,0.91,
? (ilanı 27 Mayıs),Aksoy,4000.0,42.6,26.2,16.2,10.6,2.4,1.8,
21–24 Mayıs,Andy-AR,4166.0,41.9,25.8,16.0,10.7,3.2,2.4,
16–24 Mayıs,Denge,11859.0,44.6,25.5,16.1,10.5,2.0,1.3,
17–22 Mayıs,SAMER,4150.0,43.3,27.1,15.3,11.3,2.3,0.4,0.3
Mayıs (ilanı 25 Mayıs),SONAR,3000.0,41.0,26.0,18.1,10.4,3.1,1.4,
15–21 Mayıs,Vera,1509.0,43.5,27.1,16.0,9.6,2.4,1.5,
15–20 Mayıs,AKAM,2164.0,38.94,28.09,17.61,11.78,2.24,1.34,
? (ilanı 21 Mayıs),KONDA,,40.5,28.7,14.4,11.5,,4.9,
8–11 Mayıs,Metropoll,2976.0,42.8,27.0,17.1,9.2,3.1,0.8,
10 Mayıs,GENAR,5000.0,44.6,25.8,15.7,9.5,2.4,2.0,
9–10 Mayıs,Gezici,4860.0,38.2,30.1,17.1,10.5,,4.1,
2–7 Mayıs,Benenson SG,,39.0,31.6,14.7,10.5,,4.2,
6–7 Mayıs,CHP,1618.0,39.2,28.1,17.8,10.3,,4.6,
4–7 Mayıs,ORC,2450.0,47.5,23.9,15.0,8.1,4.0,1.5,
Mayıs,Denge,5000.0,45.6,26.5,14.7,9.5,,3.7,
3–7 Mayıs,Denge,5073.0,45.6,25.5,15.1,9.5,2.3,2.0,
30 Nisan–7 Mayıs,Konsensus,1500.0,43.9,26.7,15.8,9.7,,3.9,
1–5 Mayıs,AKAM,2262.0,38.3,27.3,18.1,11.8,3.2,1.3,
24–27 Nisan,AKAM,3214.0,38.1,28.1,17.8,12.6,,3.4,
18–21 Nisan,Metropoll,2824.0,42.5,26.4,17.6,10.2,2.2,1.1,
20–27 Nisan,KamuAR,4382.0,36.2,26.7,22.4,6.7,4.3,3.7,
20-27 Nisan,Perspektif,1500.0,39.2,26.4,16.8,10.3,4.4,2.9,
? (ilanı 29 Nisan),SONAR,,43.0,26.1,17.2,9.6,1.8,0.7,1.6
20–26 Nisan,Gezici,4860.0,38.1,28.5,18.0,11.0,4.1,0.3,
? (ilanı 27 Nisan),MAK,,45.15,24.79,15.25,9.15,4.15,1.51,
11–17 Nisan,AKAM,5160.0,40.7,25.5,18.0,11.4,,4.4,
9–13 Nisan,ORC,4200.0,48.3,23.7,14.4,8.9,2.7,2.0,
9–12 Nisan,Gezici,4860.0,39.2,28.1,16.9,11.3,4.1,0.5,
Mart sonu (ilanı 12 Nisan),Metropoll,2500.0,41.7,27.7,17.4,10.4,,2.8,
Mart başı (ilanı 21 Nisan),Metropoll,,41.8,26.0,17.7,9.8,,4.7,
11–14 Nisan,Andy-AR,2.526,43.7,23.5,17.6,10.4,,4.8,
? (ilanı 30 Mart),Denge,,47.0,26.0,14.6,8.8,1.6,,0.6
18–24 Mart,ORC,3178.0,50.3,23.0,14.1,8.6,,,
12–21 Mart,KamuAR,8763.0,35.6,27.2,21.8,7.2,3.4,,1.3
7–8 Mart,Gezici,4860.0,39.3,29.6,17.7,11.4,,,
? (ilanı 16 Mart),MAK,,47.7,25.3,14.2,9.1,1.1,,1.1
Mart (ilanı 11 Mart),SONAR,3000.0,40.0,27.1,18.0,10.1,,3.0,
4–7 Mart,ORC,3160.0,50.0,23.2,13.5,8.4,,,
? (ilanı 27 Şubat),GENAR,5202.0,47.7,25.1,13.4,8.9,,4.9,
14–15 Şubat,Gezici,3840.0,39.1,28.7,18.1,9.5,2.1,0.9,1.5
11–14 Şubat,Metropoll,2694.0,43.1,27.0,16.4,9.8,1.9,1.8,
10–14 Şubat,ORC,4650.0,49.8,23.0,13.9,8.9,,4.4,
? (ilanı 12 Şubat),ARGETUS,3518.0,47.2,23.9,15.2,9.2,,4.5,
3–8 Şubat,Andy-AR,2263.0,45.2,25.6,16.5,9.2,,3.5,
3–8 Şubat,MAK,5454.0,47.6,24.8,14.3,8.0,,5.3,
Ocak (ilanı 18 Şubat),KONDA,,45.4,23.3,15.1,10.6,,5.6,
19–23 Ocak,Pollmark,5000.0,49.4,23.5,15.0,8.0,,4.1,
17-20 Ocak,Metropoll,2.759,44.9,26.9,14.6,9.3,2.0,2.3,
17–18 Ocak,Gezici,3600.0,39.8,29.6,17.3,7.3,2.7,0.9,2.0
15–19 Ocak,ORC,1720.0,48.6,23.3,13.5,8.2,,6.4,
5–10 Ocak,MAK,5400.0,48.4,25.4,14.0,6.8,1.4,2.5,1.3
? (ilanı 12 Ocak),SONAR,3000.0,38.1,27.8,17.6,8.2,,4.4,3.9
1–10 Ocak,TÜSİAR,4153.0,54.6,25.3,13.7,4.2,,2.2,
