Yapılış Tarihi,Anketi Yapan,Katılımcı sayısı,AK Parti,CHP,MHP,HDP,Diğer
24–29 Ekim,Andy-AR,2400.0,43.7,27.1,14.0,13.0,2.2
24–25 Ekim,KONDA,3574.0,41.7,27.9,14.2,13.8,2.3
24–25 Ekim,A&G,4536.0,47.2,25.3,13.5,12.2,1.8
24–25 Ekim,Gezici,4864.0,43.0,26.1,14.9,12.2,3.8
22–24 Ekim,Metropoll,2576.0,43.3,25.9,14.8,13.4,2.6
21–24 Ekim,ORC,2650.0,43.3,27.4,14.0,12.2,3.1
17–21 Ekim,Kurd-Tek,2592.0,39.1,28.14,14.36,14.21,4.19
16–20 Ekim,AKAM,24540.0,40.45,28.22,14.33,14.17,2.83
16–20 Ekim,Betimar,2000.0,44.3,25.48,13.58,12.97,3.67
13–19 Ekim,Konsensus,2002.0,43.0,28.6,13.1,11.9,3.4
17–18 Ekim,KONDA,,41.5,28.0,14.7,12.7,3.1
17–18 Ekim,Gezici,4864.0,41.3,27.0,15.6,12.5,3.6
12–17 Ekim,MAK,,43.5,27.8,13.6,12.1,3.0
12–16 Ekim,Argetus,4472.0,43.1,26.2,15.1,12.6,3.0
10–16 Ekim,Perspektif,1255.0,42.3,27.6,14.7,12.8,2.6
10–15 Ekim,Denge,,43.4,25.9,13.7,13.6,3.4
8–15 Ekim,SONAR,3000.0,40.5,27.3,15.2,13.1,3.9
5–11 Ekim,KamuAR,5160.0,39.2,28.1,17.6,11.2,3.9
5–9 Ekim,SAMER,4144.0,41.4,26.9,15.4,13.9,2.4
4–7 Ekim,Metropoll,2526.0,42.5,26.3,16.3,13.0,1.9
3–7 Ekim,Pollmark,5184.0,43.9,25.4,14.8,12.3,3.6
3–6 Ekim,Andy-AR,1764.0,42.6,27.1,15.2,12.1,3.0
3–4 Ekim,KONDA,,41.0,29.2,14.8,12.2,2.8
3–4 Ekim,Gezici,4864.0,40.8,27.6,15.8,13.6,2.2
28 Eylül–1 Ekim,TÜSİAR,3041.0,42.95,26.4,14.6,12.09,3.96
26–27 Eylül,Gezici,4860.0,39.8,28.2,17.3,12.3,2.4
17–24 Eylül,LRC,2425.0,38.9,25.97,17.91,12.31,4.91
19–23 Eylül,MAK,5500.0,43.72,26.67,14.05,115.0,4.06
19–21 Eylül,Ada,3000.0,44.7,27.6,12.9,11.8,3.0
12–15 Eylül,ORC,2760.0,44.0,27.8,13.4,11.0,3.8
2–15 Eylül,Kurd-Tek,5348.0,38.48,26.66,17.52,14.59,2.75
12–13 Eylül,Gezici,5000.0,39.3,28.1,16.8,13.5,2.3
5–13 Eylül,Konsensus,1500.0,43.3,27.6,13.8,12.6,2.7
27 Ağustos–13 Eylül,ANAR-Denge-GENAR-Pollmark,157907.0,44.2,25.4,14.0,12.5,3.9
5–12 Eylül,SONAR,,38.2,28.0,18.2,13.7,1.9
5–6 Eylül,KONDA,,41.7,24.8,16.4,12.3,4.8
2–5 Eylül,Metropoll,2540.0,41.4,27.3,15.3,13.0,3.2
? (ilanı 3 Eylül),Varyans,15000.0,43.9,26.2,14.1,12.3,3.5
Eylül (ilanı 2 Eylül),KamuAR,5249.0,42.29,25.97,18.65,11.87,1.22
22–25 Ağustos,ORC,2450.0,43.7,27.5,14.3,11.2,3.3
22–23 Ağustos,Gezici,4860.0,38.9,27.8,16.3,13.5,3.5
19–23 Ağustos,Argetus,2960.0,42.6,25.5,15.4,12.5,4.0
22 Ağustos,AKAM,1624.0,39.74,28.48,12.58,14.83,4.37
? (ilanı 20 Ağustos),CHP,,39.0,28.0,14.0,13.0,6.0
? (ilanı 18 Ağustos),Gezici,,39.2,26.4,16.2,14.1,4.1
12–18 Ağustos,Perspektif,1074.0,40.8,27.9,16.1,11.2,4.0
14–16 Ağustos,Metropoll,2520.0,41.7,25.5,15.7,14.7,2.4
8–11 Ağustos,Andy-AR,1504.0,42.8,27.0,15.9,12.8,1.5
8–9 Ağustos,KONDA,,43.6,25.5,14.7,12.8,3.4
7–9 Ağustos,ORC,1580.0,44.1,26.8,15.6,10.7,2.8
4–8 Ağustos,MAK,5500.0,44.7,25.3,15.6,10.7,3.7
24 Temmuz–4 Ağustos,SONAR,3500.0,42.9,25.2,17.0,10.3,4.6
25–26 Temmuz,Gezici,4860.0,41.9,26.3,15.3,12.3,4.2
25 Temmuz,AKAM,1412.0,39.89,27.47,13.75,14.52,4.37
11–15 Temmuz,ORC,3200.0,43.9,27.0,15.5,10.9,2.7
8–13 Temmuz,Perspektif,1224.0,41.3,26.2,15.5,11.3,5.7
4–5 Temmuz,Gezici,4860.0,40.1,26.1,14.7,14.2,4.9
25–28 Haziran,Andy-AR,1556.0,42.8,27.3,15.4,11.7,2.8
9–13 Haziran,Metropoll,2483.0,41.6,25.1,16.2,12.9,4.2
7 Haziran,Genel seçimler (yurt içi),45121773.0,40.66,25.13,16.45,12.96,4.8
