Tarih,Anket_Şirketi,Örneklem,Erdoğan,İnce,Kılıçdaroğlu,Oğan,Fark
12-13 May,Özdemir,3.016,484,,452,64,32
11-13 May,Remres,4.764,444,01,536,19,92
12 May,İEA,1.500,456,,505,39,49
11-12 May,BETİMAR,5.751,491,03,450,56,41
11-12 May,Areda Survey[a 1],25.000,513,06,442,39,71
10-12 May,ASAL,2.017,506,,463,31,43
9-12 May,Aksoy[a 2],4.000,456,08,479,57,23
10-11 May,GENAR[a 3],2.000,514,,443,43,71
10-11 May,ORC,3.920,442,13,517,28,75
9-11 May,Optimar[a 4],5.950,504,15,447,34,57
8-11 May,Avrasya[a 5],2.476,442,14,513,31,71
11 Mayıs 2023,Muharrem İnce. adaylıktan çekildiğini açıkladı.[6],Muharrem İnce. adaylıktan çekildiğini açıkladı.[6],Muharrem İnce. adaylıktan çekildiğini açıkladı.[6],Muharrem İnce. adaylıktan çekildiğini açıkladı.[6],Muharrem İnce. adaylıktan çekildiğini açıkladı.[6],Muharrem İnce. adaylıktan çekildiğini açıkladı.[6],Muharrem İnce. adaylıktan çekildiğini açıkladı.[6]
9-10 May,Yöneylem,2.476,444,14,495,47,51
9-10 May,MetroPOLL,2.038,469,13,491,27,22
7-10 May,Argetus,2.568,506,12,461,21,45
3-10 May,Remres,5.411,441,21,521,17,80
2-9 May,Artıbir,1.500,446,30,501,23,55
20 Nis-9 May,ADA,65.000,506,17,448,29,62
8-9 May,Area,3.000,461,13,491,35,30
6-9 May,İEA,5.000,439,31,465,65,26
6-9 May,Piar,,453,08,513,26,60
5-9 May,ALF,6.000,447,16,512,25,65
4-8 May,İvem,4.020,486,21,469,24,17
2-8 May,Bulgu,2.400,432,25,505,38,73
6-7 May,Gezici,3.577,459,32,469,40,10
6-7 May,KONDA,3.480,437,22,493,48,56
3-7 May,SAROS,8.164,445,32,500,23,55
27 Nis-5 May,Avrasya[a 5],5.600,436,25,509,30,73
26 Nis-4 May,MAK,5.750,454,17,509,20,55
1-3 May,Areda Survey[a 1],16.740,508,37,419,36,89
28 Nis-2 May,İvem,4.156,478,33,459,30,19
25 Nis-2 May,HBS,5.100,475,33,470,22,05
27 Nis-2 May,SONAR,4.197,488,36,441,35,47
27 Nis-2 May,ASAL,2.523,491,27,463,19,28
29 Nis-1 May,ORC,3.950,446,43,480,31,34
Nisan ayı ortalaması (24) [not 1],Nisan ayı ortalaması (24) [not 1],Nisan ayı ortalaması (24) [not 1],4494,565,4704,237,210
29-30 Nis,KONDA,,446,53,455,46,09
27-30 Nis,Yöneylem,2.594,425,37,486,52,61
25-30 Nis,SAROS,7.284,472,23,491,13,19
26-29 Nis,ADA,3.278,488,29,458,24,30
25-29 Nis,Optimar[a 4],3.005,486,43,441,30,45
26-28 Nis,Aksoy[a 2],1.537,419,58,473,50,54
24-28 Nis,Sosyo Politik,1.569,441,30,517,12,76
25-27 Nis,Areda Survey[a 1],14.193,511,41,420,28,91
24-27 Nis,Area,,460,35,475,30,15
24-26 Nis,İEA,,425,73,447,55,22
24-26 Nis,Gezici,3.991,446,47,487,20,41
23-26 Nis,TEAM,3.054,444,61,474,21,30
17-25 Nis,TÜSİAR,4.223,487,36,466,11,21
17-24 Nis,Artıbir,1.500,437,45,494,24,57
15-24 Nis,Bulgu,2.400,415,65,495,25,80
19-22 Nis,ORC,3.920,424,61,493,22,69
12-20 Nis,Area,10.277,467,39,468,26,01
15-20 Nis,Areda Survey[a 1],17.400,514,46,418,22,96
15-18 Nis,Piar,5.400,471,12,494,23,23
15-16 Nis,KONDA,,450,81,448,22,02
14-16 Nis,Yöneylem,2.422,430,56,486,28,56
10-16 Nis,SONAR,4.541,461,77,441,21,20
10-16 Nis,MAK,5.750,455,35,498,12,43
5-15 Nis,HBS,5.100,464,62,457,17,07
12-14 Nis,Areda Survey[a 1],10.136,508,45,431,16,77
8-12 Nis,ALF,2.340,439,65,474,22,35
7-11 Nis,ORC,5.400,415,72,489,24,74
6-10 Nis,Avrasya[a 5],2.410,423,48,509,20,86
1-7 Nis,Optimar[a 4],4.745,459,83,439,19,20
3-6 Nis,İEA,2.000,418,110,443,29,25
1-5 Nis,Area,,423,127,426,24,03
1-3 Nis,MetroPOLL,2.610,452,55,469,24,17
1-2 Nis,KONDA,,434,100,446,20,12
1-2 Nis,Gezici,2.864,432,21,534,13,102
25 Mart-2 Nis,ASAL,2.147,468,84,422,26,46
28 Mart-1 Nis,Areda Survey[a 1],18.478,506,55,418,21,88
Nisan,TEAM,,431,121,427,20,04
Nisan,Aksoy[a 2],1.067,384,90,479,48,95
Nisan,SAROS,10.729,468,60,457,16,11
