İl,Kaynak_URL,Tarih,Anket_Şirketi,Örneklem,AKP,CHP,İYİ,MHP,HDP,Kararsız,DEM
Adana,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,27-28 Mart,BETİMAR,5.089,446,390.0,65.0,49.0,45.0,,56
Adana,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,25-28 Mart,ORC,2.29,315,277.0,273.0,71.0,64.0,,38
Adana,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,24-27 Mart,AREA,2.012,472,401.0,6.0,4.0,27.0,,71
Adana,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,12-26 Mart,Avrasya,,456,357.0,,,187.0,,99
Adana,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,21-25 Mart,Areda Survey,1.963,403,418.0,7.0,56.0,53.0,,15
Adana,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,7-13 Mart,AREA,3.003,471,40.0,55.0,41.0,33.0,,71
Adana,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,6-12 Mart,Yöneylem,9.228,472,386.0,55.0,5.0,37.0,,86
Adana,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,4-11 Mart,ASAL,1.653,403,392.0,76.0,46.0,83.0,,11
Adana,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,1-5 Mart,ADA,1.5,419,426.0,5.0,,105.0,,7
Adana,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,23 Şub-4 Mar,MAK,1.61,34,35.0,12.0,5.0,9.0,5.0,10
Adana,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,2-4 Mart,ORC,2.32,341,277.0,245.0,45.0,25.0,67.0,64
Adana,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,31 Mart 2019,Yerel seçimler,,536,,,,36.0,,108
Adana,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,Mart,HBS,600.0,273,,,24.0,68.0,136.0,2
Adana,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,9-11 Mart,Gezici,4.568,281,,,34.0,,,113
Adana,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,Şubat,İzlem,,283,,,28.0,76.0,,59
Adana,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,31 Mart 2019,Yerel seçimler,214.961,583,,,,54.0,,23
