İl,Kaynak_URL,Tarih,Anket_Şirketi,Örneklem,AKP,CHP,İYİ,MHP,HDP,DEM,YRP,ZP
Antalya,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,Mart,GENAR,,437.0,457.0,37.0,2.0,17.0,18.0,14.0,2
Antalya,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,25-26 Mart,ORC,2.72,445.0,39.0,73.0,59.0,,,33.0,55
Antalya,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,12-26 Mart,Avrasya,,433.0,417.0,,,,,15.0,16
Antalya,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,21-25 Mart,Areda Survey,4.358,44.0,423.0,37.0,49.0,27.0,15.0,8.0,17
Antalya,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,18-24 Mart,ALF,3.2,385.0,407.0,91.0,65.0,,,52.0,22
Antalya,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,20-22 Mart,Pollstar,3.0,376.0,443.0,71.0,57.0,,,53.0,67
Antalya,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,13-18 Mart,ASAL,1.5,414.0,396.0,69.0,41.0,19.0,25.0,36.0,18
Antalya,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,1-15 Mart,ADA,1.5,415.0,442.0,58.0,,,,85.0,27
Antalya,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,21 Şub-4 Mar,MAK,1.91,34.0,41.0,7.0,7.0,2.0,15.0,25.0,7
Antalya,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,1-2 Mart,Özdemir,8.444,405.0,423.0,41.0,51.0,29.0,27.0,24.0,18
Antalya,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,18-20 Şubat,Optimar,2.5,466.0,451.0,29.0,15.0,7.0,25.0,7.0,15
Antalya,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,Eylül,ASAL,1.764,373.0,34.0,106.0,21.0,,,163.0,33
Antalya,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,2023,2023,2023.0,2023.0,2023.0,2023.0,2023.0,2023.0,2023.0,2023.0,2023
Antalya,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,31 Mart 2019,Yerel seçimler,,506.0,463.0,,,,,31.0,43
Antalya,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,23-26 Mart,Pi-Ar,1.4,,,,,,,3.5,61
Antalya,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,20-23 Mart,ORC,1.5,,,,,,,46.0,79
Antalya,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,31 Mart 2019,Yerel seçimler,163.291,,,,,,,62.0,214
Antalya,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,20-23 Mart,ORC,850.0,392.0,42.0,69.0,35.0,,,84.0,28
Antalya,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,31 Mart 2019,Yerel seçimler,38.36,487.0,485.0,,,,,28.0,2
Antalya,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,26 Mart,Kırmızı Kare,11.516,,,,,,,,13
Antalya,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,31 Mart 2019,Yerel seçimler,38.051,,,,,,,12.0,8
Antalya,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,20-23 Mart,ORC,1.65,,,,,,,58.0,37
Antalya,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,31 Mart 2019,Yerel seçimler,297.906,,,,,,,5.0,58
Antalya,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,20-23 Mart,ORC,1.74,496.0,232.0,,,,,59.0,264
Antalya,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,31 Mart 2019,Yerel seçimler,95.858,668.0,308.0,,,,,24.0,36
