İl,Kaynak_URL,Tarih,Anket_Şirketi,Örneklem,AKP,CHP,İYİ,MHP,HDP,Kararsız,DEM
Denizli,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,Mart,GENAR,,538,77.0,328.0,17.0,4.0,,21
Denizli,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,12-26 Mart,Avrasya,,419,,421.0,,,,2
Denizli,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,23-25 Mart,ORC,2.26,406,74.0,431.0,,89.0,,25
Denizli,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,21-25 Mart,Areda Survey,1.736,414,92.0,391.0,29.0,72.0,,23
Denizli,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,6-11 Mart,ALF,2.5,386,79.0,414.0,,49.0,72.0,28
Denizli,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,5-9 Mart,ORC,2.1,398,53.0,402.0,18.0,31.0,98.0,4
Denizli,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,1-5 Mart,ADA,1.5,514,51.0,374.0,,61.0,,140
Denizli,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,23 Şub-6 Mar,MAK,1.58,42,15.0,26.0,2.0,10.0,5.0,16
Denizli,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,26 Şub-1 Mar,ASAL,1.35,415,109.0,36.0,28.0,88.0,,55
Denizli,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,31 Mart 2019,Yerel seçimler,636.308,506,439.0,,,55.0,,67
