İl,Kaynak_URL,Tarih,Anket_Şirketi,Örneklem,AKP,CHP,İYİ,MHP,Kararsız,HDP
Ordu,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,29 Mart,Özdemir,2.174,366,122.0,413.0,69.0,,47
Ordu,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,15-26 Mart,ADA,1.5,467,178.0,332.0,23.0,,135
Ordu,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,12-26 Mart,Avrasya,,45,,281.0,269.0,,169
Ordu,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,21-25 Mart,Areda Survey,2.194,373,186.0,39.0,3.0,,17
Ordu,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,Mart,HBS,2.4,318,152.0,386.0,19.0,64.0,68
Ordu,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,18-24 Mart,ALF,2.2,367,117.0,393.0,7.0,,26
Ordu,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,20-22 Mart,Pollstar,3.0,343,18.0,394.0,58.0,,51
Ordu,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,14-19 Mart,DENGE,2.0,478,168.0,332.0,9.0,,146
Ordu,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,11-14 Mart,KODAR,5.222,376,135.0,413.0,35.0,41.0,37
Ordu,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,6-12 Mart,ASAL,1.5,405,126.0,416.0,32.0,,11
Ordu,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,Mart,HBS,1.1,288,149.0,341.0,56.0,118.0,53
Ordu,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,24 Şub-6 Mar,MAK,1.18,36,12.0,39.0,60.0,5.0,3
Ordu,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,20-28 Şubat,ADA,7.5,518,144.0,297.0,9.0,,221
Ordu,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,24-27 Şubat,ORC,1.93,307,192.0,332.0,3.0,98.0,25
Ordu,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,31 Mart 2019,Yerel seçimler,474.904,569,154.0,,,,308
Ordu,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,Mart,HBS,1.1,342,383.0,138.0,21.0,65.0,39
Ordu,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,31 Mart 2019,Yerel seçimler,115.617,505,427.0,,68.0,,78
