Bölüm,KaynakURL,Tarih Tarih,Anket şirketi Anket şirketi,Örneklem Örneklem,CHP Unnamed: 3_level_1,AKP Unnamed: 4_level_1,İYİ Unnamed: 5_level_1,YRP Unnamed: 6_level_1,ZP Unnamed: 7_level_1,DEM Unnamed: 8_level_1,Diğerleri Diğerleri,Fark Fark,AKP Unnamed: 3_level_1,İYİ Unnamed: 4_level_1,CHP Unnamed: 5_level_1,ZP Unnamed: 6_level_1,MHP Unnamed: 3_level_1,CHP Unnamed: 4_level_1,BBP Unnamed: 5_level_1,CHP Unnamed: 6_level_1,YRP Unnamed: 7_level_1,MHP Unnamed: 5_level_1,İYİ Unnamed: 6_level_1,YRP Unnamed: 5_level_1
Ankara,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,29 Mart,BETİMAR,3.060,612.0,289.0,14,39,24,14,8,323,,,,,,,,,,,,
Ankara,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,27-29 Mart,Özdemir,2.500,586.0,339.0,—,32,—,—,43,247,,,,,,,,,,,,
Ankara,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,Mart,HBS,2.100,432.0,361.0,43,4,27,1,24,71,,,,,,,,,,,,
Ankara,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,26-27 Mart,TÜSİAR,2.462,451.0,372.0,41,37,25,33,42,78,,,,,,,,,,,,
Ankara,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,25-27 Mart,ORC,3.420,515.0,362.0,39,26,2,21,17,153,,,,,,,,,,,,
Ankara,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,20-26 Mart,ALF,3.850,554.0,351.0,31,—,—,—,64,203,,,,,,,,,,,,
Ankara,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,20-26 Mart,ASAL,2.500,544.0,338.0,32,24,12,28,22,206,,,,,,,,,,,,
Ankara,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,23-26 Mart,AREA,3.009,601.0,305.0,34,32,14,11,4,296,,,,,,,,,,,,
Ankara,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,15-26 Mart,ADA,1.500,565.0,334.0,23,32,23,—,23,231,,,,,,,,,,,,
Ankara,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,12-26 Mart,Avrasya,?,503.0,397.0,—,—,—,—,10,106,,,,,,,,,,,,
Ankara,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,22-25 Mart,ADAMOR,2.593,551.0,327.0,37,26,09,39,11,224,,,,,,,,,,,,
Ankara,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,21-25 Mart,Areda Survey,3.608,47.0,429.0,19,38,2,17,6,41,,,,,,,,,,,,
Ankara,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,20-25 Mart,SAROS,4.047,472.0,391.0,49,35,—,—,53,81,,,,,,,,,,,,
Ankara,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,17-19 Mart,KODAR,6.321,54.0,39.0,14,24,—,—,32,15,,,,,,,,,,,,
Ankara,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,10-15 Mart,AREA,4.405,591.0,303.0,42,33,15,12,4,288,,,,,,,,,,,,
Ankara,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,21 Şub-3 Mar,MAK,4.300,44.0,38.0,3,4,2,2,30,6,,,,,,,,,,,,
Ankara,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,21-25 Şubat,ALF,2.700,414.0,375.0,64,23,21,—,41,39,,,,,,,,,,,,
Ankara,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,7-14 Şubat,Özdemir,2.500,624.0,302.0,12,25,14,12,11,322,,,,,,,,,,,,
Ankara,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,Şubat,HBS,2.180,403.0,352.0,61,24,25,26,3,51,,,,,,,,,,,,
Ankara,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,8-9 Şubat,AREA,1.546,54.0,401.0,17,23,12,—,7,139,,,,,,,,,,,,
Ankara,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,24-26 Ocak,ORC,3.800,437.0,409.0,52,—,—,—,32,28,,,,,,,,,,,,
Ankara,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,22-23 Ocak,AREA,2.006,57.0,401.0,—,—,—,—,29,169,,,,,,,,,,,,
Ankara,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,Ocak,HBS,2.100,368.0,343.0,61,3,29,31,51,25,,,,,,,,,,,,
Ankara,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,2024,2024,2024,2024.0,2024.0,2024,2024,2024,2024,2024,2024,,,,,,,,,,,,
Ankara,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,14-18 Temmuz,ASAL,2.074,323.0,337.0,81,18,22,49,190,14,,,,,,,,,,,,
Ankara,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,2023,2023,2023,2023.0,2023.0,2023,2023,2023,2023,2023,2023,,,,,,,,,,,,
Ankara,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,31 Mart 2019,Yerel seçimler,3.263.648,509.0,471.0,—,—,—,—,18,38,,,,,,,,,,,,
Ankara,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,25-26 Mart,ORC,1.05,,,,,,,85,24,336,312.0,216,51,,,,,,,,
Ankara,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,2024,2024,2024.0,,,,,,,2024,2024,2024,2024.0,2024,2024,,,,,,,,
Ankara,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,31 Mart 2019,Yerel seçimler,31.654,,,,,,,38,4,483,479.0,—,—,,,,,,,,
Ankara,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,Mart,SONAR,2.674,,,56,25,2,,51,26,,,,,437.0,411.0,,,,,,
Ankara,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,2024,2024,2024.0,,,2024,2024,2024,,2024,2024,,,,,2024.0,2024.0,,,,,,
Ankara,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,31 Mart 2019,Yerel seçimler,332.548,,,—,—,—,,42,18,,,,,495.0,457.0,,,,,,
Ankara,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,Mart,HBS,2.5,,,,,,,55,57,,54.0,,,314.0,,165.0,371,41,,,
Ankara,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,2024,2024,2024.0,,,,,,,2024,2024,,2024.0,,,2024.0,,2024.0,2024,2024,,,
Ankara,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,31 Mart 2019,Yerel seçimler,75.782,,,,,,,42,151,,39.0,,,541.0,,27.0,—,—,,,
Ankara,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,25-26 Mart,ORC,850.0,,,,,,,71,94,—,,,,,202.0,,,197,312,218,
Ankara,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,2024,2024,2024.0,,,,,,,2024,2024,2024,,,,,2024.0,,,2024,2024,2024,
Ankara,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,31 Mart 2019,Yerel seçimler,9.486,,,,,,,297,297,605,,,,,308.0,,,—,—,—,
Ankara,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,14-18 Mart,SAROS,3.428,,,,,38,,24,55,270,25.0,,,,,,318,,,,325
Ankara,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,2024,2024,2024.0,,,,,2024,,2024,2024,2024,2024.0,,,,,,2024,,,,2024
Ankara,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,31 Mart 2019,Yerel seçimler,522.213,,,,,—,,56,328,636,308.0,,,,,,—,,,,—
Ankara,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,25-26 Mart,ORC,1.45,,,,,,,73,33,291,258.0,,,,,,174,,,,204
Ankara,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,2024,2024,2024.0,,,,,,,2024,2024,2024,2024.0,,,,,,2024,,,,2024
Ankara,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,31 Mart 2019,Yerel seçimler,288.268,,,,,,,63,415,676,261.0,,,,,,—,,,,—
