Bölüm,KaynakURL,Tarih Tarih,Anket şirketi Anket şirketi,Örneklem Örneklem,CHP Unnamed: 3_level_1,AKP Unnamed: 4_level_1,İYİ Unnamed: 5_level_1,DEM Unnamed: 6_level_1,YRP Unnamed: 7_level_1,ZP Unnamed: 8_level_1,Diğerleri Diğerleri,Kararsız Kararsız,Fark Fark
Aydın,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,12-26 Mart,Avrasya,?,461,352,—,—,—,—,187,—,109
Aydın,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,21-25 Mart,Areda Survey,2.823,409,413,86,48,14,22,8,—,4
Aydın,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,18-23 Mart,Optimar,2.000,432,440,42,35,—,25,26,—,8
Aydın,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,17-19 Mart,ORC,2.900,411,419,64,39,17,28,22,—,8
Aydın,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,Mart,SONAR,4.432,509,326,53,66,16,18,18,—,183
Aydın,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,15-18 Mart,ALF,2.720,374,389,78,46,14,18,21,6,15
Aydın,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,13-16 Mart,Piar,2.060,405,431,75,5,—,—,39,—,26
Aydın,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,21 Şub-5 Mar,MAK,1.740,42,36,7,3,2,2,3,5,6
Aydın,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,20-28 Şubat,ADA,1.500,465,397,59,41,—,—,38,—,68
Aydın,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,20-25 Şubat,ASAL,1.500,428,364,85,62,16,16,29,—,64
Aydın,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024
Aydın,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,31 Mart 2019,Yerel seçimler,683.704,539,437,—,—,—,—,23,—,102
