Bölüm,KaynakURL,Tarih Tarih,Anket şirketi Anket şirketi,Örneklem Örneklem,AKP Unnamed: 3_level_1,İYİ Unnamed: 4_level_1,CHP Unnamed: 5_level_1,DEM Unnamed: 6_level_1,YRP Unnamed: 7_level_1,Diğerleri Diğerleri,Kararsız Kararsız,Fark Fark,CHP Unnamed: 4_level_1,Bağ. Unnamed: 5_level_1,İYİ Unnamed: 6_level_1
Balıkesir,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,25-27 Mart,ORC,1.790,42,134,394,—,—,52,—,26,,,
Balıkesir,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,12-26 Mart,Avrasya,?,418,—,436,—,—,146,—,18,,,
Balıkesir,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,22-25 Mart,SAROS,1.947,413,58,451,—,—,78,—,38,,,
Balıkesir,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,22-25 Mart,İVEM,1.934,442,46,451,—,21,40,—,9,,,
Balıkesir,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,21-25 Mart,Areda Survey,2.182,439,81,419,—,24,37,—,2,,,
Balıkesir,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,Mart,GENAR,?,454,74,424,—,17,31,—,3,,,
Balıkesir,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,14-18 Mart,Aksoy,2.400,432,29,49,07,2,22,—,58,,,
Balıkesir,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,1-15 Mart,ADA,1.500,437,45,462,—,—,56,—,25,,,
Balıkesir,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,24 Şub-5 Mar,MAK,990,40,11,34,5,—,3,5,6,,,
Balıkesir,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,Mart,SONAR,3.851,471,4,428,15,1,36,—,43,,,
Balıkesir,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,Mart,HBS,1.800,427,106,401,—,39,27,—,26,,,
Balıkesir,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,16-24 Şubat,ASAL,1.080,425,65,404,15,17,74,—,21,,,
Balıkesir,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,2-3 Şubat,Gezici,8.124,421,39,472,06,32,3,—,51,,,
Balıkesir,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,,,
Balıkesir,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,17-20 Aralık,ALF,1.900,375,98,442,34,—,51,—,67,,,
Balıkesir,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,,,
Balıkesir,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,31 Mart 2019,Yerel seçimler,785.432,478,465,–,—,—,57,—,13,,,
Balıkesir,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,Mart,SONAR,2.866,293,,,,43,17,,26,238.0,319,9
Balıkesir,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,2024,2024,2024.0,2024,,,,2024,2024,,2024,2024.0,2024,2024
Balıkesir,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,31 Mart 2019,Yerel seçimler,110.887,547,,,,—,5,,144,403.0,—,—
