Bölüm,KaynakURL,Tarih Tarih,Anket şirketi Anket şirketi,Örneklem Örneklem,AKP Unnamed: 3_level_1,CHP Unnamed: 4_level_1,İYİ Unnamed: 5_level_1,YRP Unnamed: 6_level_1,ZP Unnamed: 7_level_1,DEM Unnamed: 8_level_1,Diğerleri Diğerleri,Fark Fark,CHP Unnamed: 3_level_1,AKP Unnamed: 4_level_1,ZP Unnamed: 6_level_1,YRP Unnamed: 7_level_1,Kararsız Kararsız,İYİ Unnamed: 4_level_1,SP Unnamed: 5_level_1,CHP Unnamed: 6_level_1,YRP Unnamed: 5_level_1,MHP Unnamed: 3_level_1,CHP Unnamed: 5_level_1,DEM Unnamed: 7_level_1,ZP Unnamed: 8_level_1
Bursa,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,27-29 Mart,Özdemir,2.400,389.0,458.0,27,55,41,—,30,69,,,,,,,,,,,,,
Bursa,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,22-26 Mart,ALF,3.400,416.0,444.0,23,47,—,—,7,28,,,,,,,,,,,,,
Bursa,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,12-26 Mart,Avrasya,?,411.0,425.0,—,—,—,—,164,14,,,,,,,,,,,,,
Bursa,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,21-25 Mart,Areda Survey,2.416,426.0,413.0,33,58,25,16,26,13,,,,,,,,,,,,,
Bursa,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,18-25 Mart,SAROS,2.918,438.0,402.0,61,52,—,—,47,36,,,,,,,,,,,,,
Bursa,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,21-23 Mart,İVEM,1.945,431.0,409.0,49,47,28,—,40,22,,,,,,,,,,,,,
Bursa,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,18-21 Mart,Aksoy,2.400,395.0,488.0,14,39,25,19,21,93,,,,,,,,,,,,,
Bursa,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,17-20 Mart,ORC,7.140,416.0,385.0,39,62,27,22,49,35,,,,,,,,,,,,,
Bursa,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,15-18 Mart,Pollstar,4.700,382.0,450.0,57,60,—,—,51,68,,,,,,,,,,,,,
Bursa,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,12-17 Mart,ASAL,1.400,395.0,412.0,3,53,35,23,52,17,,,,,,,,,,,,,
Bursa,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,1-15 Mart,ADA,1.500,433.0,406.0,32,53,39,—,37,27,,,,,,,,,,,,,
Bursa,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,11-14 Mart,Aksoy,1.067,388.0,452.0,26,41,34,21,38,64,,,,,,,,,,,,,
Bursa,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,1-14 Mart,ALF,9.700,384.0,371.0,36,65,19,—,71,13,,,,,,,,,,,,,
Bursa,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,21 Şub-5 Mar,MAK,2.370,45.0,41.0,2,1,1,2,30,4,,,,,,,,,,,,,
Bursa,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,20-24 Şubat,Özdemir,2.363,358.0,475.0,29,58,47,22,11,117,,,,,,,,,,,,,
Bursa,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,26-29 Ocak,ORC,5.200,383.0,414.0,54,21,—,—,25,31,,,,,,,,,,,,,
Bursa,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,2024,2024,2024,2024.0,2024.0,2024,2024,2024,2024,2024,2024,,,,,,,,,,,,,
Bursa,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,31 Mart 2019,Yerel seçimler,1.810.393,496.0,47.0,—,—,—,—,34,26,,,,,,,,,,,,,
Bursa,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,8-13 Mart,ALF,1.43,,,89,,,,22,17,392.0,375.0,34,29,39,,,,,,,,
Bursa,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,2024,2024,2024.0,,,2024,,,,2024,2024,2024.0,2024.0,2024,2024,2024,,,,,,,,
Bursa,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,31 Mart 2019,Yerel seçimler,68.546,,,—,,,,105,49,472.0,423.0,—,—,—,,,,,,,,
