Bölüm,KaynakURL,Tarih Tarih,Anket şirketi Anket şirketi,Örneklem Örneklem,AKP Unnamed: 3_level_1,İYİ Unnamed: 4_level_1,CHP Unnamed: 5_level_1,YRP Unnamed: 6_level_1,Diğerleri Diğerleri,Kararsız Kararsız,Fark Fark
Denizli,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,Mart,GENAR,?,538,77,328,17,4,—,21
Denizli,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,12-26 Mart,Avrasya,?,419,—,421,—,—,—,2
Denizli,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,23-25 Mart,ORC,2.260,406,74,431,—,89,—,25
Denizli,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,21-25 Mart,Areda Survey,1.736,414,92,391,29,72,—,23
Denizli,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,6-11 Mart,ALF,2.500,386,79,414,—,49,72,28
Denizli,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,5-9 Mart,ORC,2.100,398,53,402,18,31,98,4
Denizli,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,1-5 Mart,ADA,1.500,514,51,374,—,61,—,140
Denizli,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,23 Şub-6 Mar,MAK,1.580,42,15,26,2,10,5,16
Denizli,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,26 Şub-1 Mar,ASAL,1.350,415,109,36,28,88,—,55
Denizli,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024
Denizli,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,31 Mart 2019,Yerel seçimler,636.308,506,439,—,—,55,—,67
