Bölüm,KaynakURL,Tarih Tarih,Anket şirketi Anket şirketi,Örneklem Örneklem,AKP Unnamed: 3_level_1,İYİ Unnamed: 4_level_1,YRP Unnamed: 5_level_1,CHP Unnamed: 6_level_1,DEM Unnamed: 7_level_1,MHP Unnamed: 8_level_1,Diğerleri Diğerleri,Kararsız Kararsız,Fark Fark
Konya,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,12-26 Mart,Avrasya,?,523,—,167,—,—,—,31,—,356
Konya,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,21-25 Mart,Areda Survey,2.497,618,84,107,65,28,—,98,—,511
Konya,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,22-24 Mart,TÜSİAR,2.462,526,24,262,85,—,—,103,—,264
Konya,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,1-15 Mart,ADA,1.500,549,37,194,96,—,—,124,—,355
Konya,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,21 Şub-5 Mar,MAK,1.630,57,7,9,11,3,—,90,5,46
Konya,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024
Konya,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,Ekim,TÜSİAR,7.119,413,51,117,65,03,97,173,8,296
Konya,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,Eylül,ASAL,1.246,505,7,45,113,38,102,3,51,392
Konya,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023
Konya,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,31 Mart 2019,Yerel seçimler,1.218.037,705,202,—,—,—,—,93,—,503
