Bölüm,KaynakURL,Tarih Tarih,Anket şirketi Anket şirketi,Örneklem Örneklem,AKP Unnamed: 3_level_1,İYİ Unnamed: 4_level_1,CHP Unnamed: 5_level_1,YRP Unnamed: 6_level_1,Diğerleri Diğerleri,Kararsız Kararsız,Fark Fark
Trabzon,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,12-26 Mart,Avrasya,?,493,—,221,—,286,—,272
Trabzon,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,21-25 Mart,Areda Survey,2.039,578,82,236,52,52,—,342
Trabzon,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,1-15 Mart,ADA,1.500,634,37,231,79,19,—,403
Trabzon,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,3 Mart,KODAR,4.337,57,82,241,77,3,—,329
Trabzon,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,22 Şub-5 Mar,MAK,1.230,55,9,15,6,100,5,40
Trabzon,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,24 Şub-1 Mar,ASAL,1.280,585,85,23,61,39,—,355
Trabzon,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,Mart,GENAR,?,67,34,205,64,27,—,465
Trabzon,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,24-27 Şubat,ORC,1.650,439,155,206,54,35,111,234
Trabzon,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024
Trabzon,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,31 Mart 2019,Yerel seçimler,475.451,646,295,—,—,59,—,351
